DART 기업코드,기업명,에러 발생한 REPORT TYPE
814786,스카이이앤엠,11013
128111,포스코엠텍,11013
858364,BNK금융지주,11013
129013,CJ씨푸드,11013
380429,CMG제약,11013
115694,DB금융투자,11013
159102,DB손해보험,11013
878915,DGB금융지주,11013
128971,DL건설,11013
151298,DSR제강,11013
1437186,ESR켄달스퀘어리츠,11013
980122,JB금융지주,11013
688996,KB금융,11013
1391033,NH프라임리츠,11013
116301,NI스틸,11013
938688,SBI핀테크솔루션즈,11013
137809,SHD,11013
1535150,SK리츠,11013
1596425,SK스퀘어,11013
131850,SK증권,11013
261009,감성코퍼레이션,11013
100601,강원에너지,11013
129554,갤럭시아에스엠,11013
206039,경남스틸,11013
101664,경보제약,11013
1032583,고려시멘트,11013
103015,고려제약,11013
764807,골프존데카,11013
321204,관악산업,11013
220561,광주신세계,11013
104120,광진실업,11013
1476219,교보10호기업인수목적,11013
1582228,교보11호스팩,11013
1398151,교보9호스팩,11013
113359,교보증권,11013
104537,국영지앤엠,11013
203847,국일신동,11013
1329957,국전약품,11013
565215,굿센,11013
1170962,GRT,11013
454946,그린케미칼,11013
159731,글로본,11013
168401,금비,11013
106614,기신정기,11013
129420,까뮤이앤씨,11013
1136001,나노브릭,11013
660459,나노씨엠에스,11013
1117422,나눔테크,11013
1267550,나라소프트,11013
651017,나우IB,11013
425254,나우코스,11013
767628,나이벡,11013
245694,남화산업,11013
876865,네오오토,11013
842585,네이블커뮤니케이션즈,11013
117276,네이처셀,11013
523176,비엘헬스케어,11013
1368354,네패스아크,11013
1328170,노드메이슨,11013
1065785,노브메타파마,11013
1135057,녹십자웰빙,11013
867478,아시아종묘,11013
536888,다믈멀티미디어,11013
1416642,다보링크,11013
1344363,다원넥스뷰,11013
1163050,다이오진,11013
1413371,HLB사이언스,11013
910202,대동고려삼,11013
191287,대동금속,11013
109310,대동기어,11013
109268,대동스틸,11013
157104,대동전자,11013
109587,대륙제관,11013
109781,대림제지,11013
1259418,대보마그네틱,11013
177320,대성미생물,11013
109037,대성창투,11013
442905,대성파인텍,11013
1567520,대신밸런스제10호스팩,11013
1580178,대신밸런스제11호스팩,11013
1407909,대신밸런스제8호스팩,11013
110875,대신정보통신,11013
110893,대신증권,11013
111111,대양금속,11013
111458,대영포장,11013
111689,대우부품,11013
250997,대정화금,11013
414540,대주이엔티,11013
207375,대한뉴팜,11013
113128,대한약품,11013
113544,대한화섬,11013
113614,대현,11013
428729,대호에이엘,11013
440712,WI,11013
991225,더콘텐츠온,11013
1343735,데이드림엔터,11013
877819,데이타솔루션,11013
553025,데이터스트림즈,11013
1109690,도부마스크,11013
526678,동방선기,11013
116268,동성제약,11013
116408,동신건설,11013
117267,동양생명,11013
993931,동양파일,11013
695969,동운아나텍,11013
118008,동원금속,11013
118451,동일제강,11013
172945,동일철강,11013
1412725,두산퓨얼셀,11013
867034,듀켐바이오,11013
1591262,디비금융스팩10호,11013
1505450,DB금융스팩8호,11013
1505469,DB금융스팩9호,11013
177199,디씨엠,11013
230814,디아크,11013
1475609,디앤디플랫폼리츠,11013
1456011,디어유,11013
1109715,DSC인베스트먼트,11013
831428,디에이치피코리아,11013
303192,디에이피,11013
1336443,디와이씨,11013
295547,디지아이,11013
1072518,디피코,11013
1344831,딥노이드,11013
911229,라온테크,11013
317104,라이온켐텍,11013
1187175,라이프사이언스테크놀로지,11013
1336762,라이프시맨틱스,11013
578325,럭스피아,11013
842619,레고켐바이오,11013
1011395,레몬,11013
978075,렌딩머신,11013
1118643,로보쓰리,11013
1060735,로지스몬,11013
238199,로지시스,11013
1363818,롯데리츠,11013
113562,롯데손해보험,11013
158307,롯데하이마트,11013
886792,루켄테크놀러지스,11013
1262023,루트락,11013
369657,리노공업,11013
110750,리더스 기술투자,11013
770312,마니커에프앤지,11013
1267967,마이크로디지탈,11013
654175,마이크로프랜드,11013
877174,엠브레인,11013
120872,만호제강,11013
1409095,맥스트,11013
435297,맥쿼리인프라,11013
364740,머큐리,11013
1018617,메디쎄이,11013
1035942,메디안디노스틱,11013
1023822,메디젠휴먼케어,11013
391197,메디프론,11013
860332,메리츠금융지주,11013
163682,메리츠증권,11013
117744,메리츠화재,11013
136101,메이슨캐피탈,11013
1144569,명성티엔에스,11013
1190513,명진홀딩스,11013
173102,모나리자,11013
1035289,모두투어리츠,11013
1423837,모아데이타,11013
241209,모아텍,11013
1293388,무진메디,11013
121570,문배철강,11013
1190124,미디어젠,11013
104786,미래아이앤지,11013
1576102,미래에셋글로벌리츠,11013
1450105,미래에셋대우스팩 5호,11013
1390399,미래에셋대우스팩3호,11013
1437292,미래에셋맵스리츠,11013
600013,맵스리얼티1,11013
340096,미래에셋벤처투자,11013
112332,미래에셋생명,11013
111722,미래에셋증권,11013
876209,미래엔에듀파트너,11013
855163,미원화학,11013
1117413,바이오다인,11013
560982,바이오솔루션,11013
1186671,바이오시네틱스,11013
1160974,바이오에프디엔씨,11013
1130885,바이오인프라생명과학,11013
669450,바이오프로테크,11013
1037542,바이옵트로,11013
1335790,바이젠셀,11013
1335851,박셀바이오,11013
122348,방림,11013
1412938,베른,11013
123107,보락,11013
267881,보성파워텍,11013
756163,볼빅,11013
124276,부스타,11013
123772,부국증권,11013
123781,부국철강,11013
124151,부산주공,11013
642897,브레인즈컴퍼니,11013
359076,브리지텍,11013
611286,블루탑,11013
1508855,블리츠웨이,11013
693651,비덴트,11013
1055317,비엔디생활건강,11013
201432,비츠로시스,11013
1326792,비투엔,11013
980043,비플라이소프트,11013
385363,빅텍,11013
550082,빅텐츠,11013
990396,뿌리깊은나무들,11013
124780,사조씨푸드,11013
141875,사조오양,11013
1528530,삼성스팩4호,11013
1534522,삼성머스트스팩5호,11013
126256,삼성생명,11013
126414,삼성제약,11013
104856,삼성증권,11013
126292,삼성카드,11013
139214,삼성화재해상보험,11013
1060814,삼양패키징,11013
378363,3S,11013
405506,삼영에스앤씨,11013
288343,삼영이엔씨,11013
191588,삼원강재,11013
127802,삼익THK,11013
127909,삼일,11013
127936,삼일기업공사,11013
128227,삼정펄프,11013
128412,삼진제약,11013
128926,삼현철강,11013
112059,상상인증권,11013
1199727,샘씨엔에스,11013
971090,어스앤에어로스페이스,11013
867973,서남,11013
166528,서암기계공업,11013
130879,서울식품공업,11013
131018,서울제약,11013
869272,서전기전,11013
407036,선바이오,11013
133618,세기상사,11013
1416572,세림B&G,11013
133751,세명전기,11013
1325979,세아제강,11013
173591,세원물산,11013
134316,세원정공,11013
422895,세이브존I&C,11013
264671,세중,11013
133706,세하,11013
1169267,세화피앤씨,11013
1114586,셀레믹스,11013
1235296,셀리드,11013
1117918,셀젠텍,11013
541349,셀트리온제약,11013
605522,소룩스,11013
1442115,소마젠,11013
1109122,스템랩,11013
1305249,스톤브릿지벤처스,11013
117498,스틱인베스트먼트,11013
135467,승일,11013
1188730,SK시그넷,11013
852087,시디즈,11013
1113499,시큐센,11013
135999,신라섬유,11013
136341,신성통상,11013
217947,신세계건설,11013
136721,신영증권,11013
1366000,신영스팩5호,11013
1419986,신영스팩6호,11013
136925,신원종합개발,11013
173698,신일전자,11013
137058,신일제약,11013
382199,신한지주,11013
1436558,신한서부티엔디리츠,11013
1276594,신한알파리츠,11013
1407158,신한제6호스팩,11013
1514528,신한제7호스팩,11013
1574760,신한제8호스팩,11013
1293953,싸이버원,11013
1046391,싸이토젠,11013
963000,썬테크,11013
1091054,쎄노텍,11013
1085187,씨알푸드,11013
762377,씨앗,11013
1116380,씨앤에스링크,11013
605328,씨앤지하이테크,11013
318662,CNT85,11013
1114559,씨엔티드림,11013
991298,씨이랩,11013
800084,씨케이에이치,11013
520610,씨큐브,11013
761952,아나패스,11013
441128,아리온,11013
611912,아모그린텍,11013
442048,아바텍,11013
138747,아세아텍,11013
665676,아시아경제,11013
458234,아시아나IDT,11013
1405585,IBKS제12호스팩,11013
1440481,IBKS제13호스팩,11013
1569102,IBKS제16호스팩,11013
1591606,IBKS제17호스팩,11013
983934,아이스크림에듀,11013
612489,아이쓰리시스템,11013
407285,아이컴포넌트,11013
861100,아이케이세미콘,11013
1146822,아이퀘스트,11013
692254,아이패밀리에스씨,11013
156895,아주IB투자,11013
201131,아즈텍WB,11013
404288,아진엑스텍,11013
578130,아퓨어스,11013
1115044,안지오랩,11013
631837,안트로젠,11013
1309795,알로이스,11013
447007,알리코제약,11013
915508,알엔투테크놀로지,11013
1265251,압타머사이언스,11013
1251595,압타바이오,11013
1187865,앙츠,11013
808086,애니젠,11013
991191,앱클론,11013
139685,양지사,11013
607797,엄지하우스,11013
1201590,에브리봇,11013
604815,에스디시스템,11013
599151,SV인베스트먼트,11013
156910,SBI인베스트먼트,11013
1110474,에스씨엠생명과학,11013
120906,에스아이리소스,11013
1187458,에스알바이오텍,11013
137012,에스앤더블류,11013
560849,에스앤디,11013
1250374,에스에스알,11013
1112700,에스엘에스바이오,11013
1203507,에스엠비나,11013
185046,SM C&C,11013
1139497,에스제이켐,11013
351579,SGA,11013
1319899,SK바이오사이언스,11013
878517,에스케이씨에스,11013
1414361,SK5호스팩,11013
1414936,SK6호스팩,11013
1596656,에스케이증권7호스팩,11013
203209,에쎈테크,11013
651901,에어부산,11013
1256864,에이비엘바이오,11013
1223219,에이에프더블류,11013
143314,에이엔피,11013
614089,에이원알폼,11013
860730,에이리츠,11013
311216,에이치엔에스하이텍,11013
336817,HLB제약,11013
1447217,에이치엠씨제4호스팩,11013
1447244,에이치엠씨제5호스팩,11013
256502,에이텍,11013
161462,에이티넘인베스트,11013
667425,에이팩트,11013
832700,에이펙스인텍,11013
874803,AP위성,11013
683007,엑스큐어,11013
1018802,엔솔바이오사이언스,11013
1011872,엔에스엠,11013
929228,엔에스컴퍼니,11013
1505186,하이딥,11013
1535257,엔에이치스팩19호,11013
1573974,엔에이치스팩20호,11013
1573284,엔에이치스팩21호,11013
1576713,엔에이치스팩22호,11013
645089,NHN벅스,11013
1480780,NH올원리츠,11013
120182,NH투자증권,11013
363927,NE능률,11013
521433,엔지브이아이,11013
1084364,엔지스테크널러지,11013
1105621,엔투텍,11013
540571,엘디티,11013
1119651,엘리비젼,11013
527011,엘비루셈,11013
1264234,엘에이티,11013
1562589,LX홀딩스,11013
136642,엠벤처투자,11013
531829,엠아이텍,11013
670766,엠투아이,11013
141149,영진약품,11013
141389,영풍정밀,11013
141413,영화금속,11013
1466832,라피치,11013
141626,오리엔트바이오,11013
1388631,오션스톤,11013
1335453,오하임아이엔티,11013
660291,옵티시스,11013
971726,옵티팜,11013
250137,와이어블,11013
1215618,와이엠텍,11013
370200,와이오엠,11013
1236532,와이즈버즈,11013
455875,와토스코리아,11013
1350869,우리금융지주,11013
231664,우리기술투자,11013
104102,우리종금,11013
486875,우양,11013
1065013,우정바이오,11013
311270,원텍,11013
337296,원포유,11013
144021,원풍물산,11013
323868,웹케시,11013
765851,위더스제약,11013
374738,위세아이텍,11013
663289,위월드,11013
1359815,윈텍,11013
536286,윈팩,11013
863038,윌링스,11013
445869,유니포인트,11013
1203376,유비쿼스,11013
144650,유신,11013
1504804,유안타제7호스팩,11013
1504910,유안타제8호스팩,11013
117601,유안타증권,11013
1196313,유에스티,11013
1396931,유엑스엔,11013
1514519,유진스팩6호,11013
1569838,유진스팩7호,11013
131054,유진증권,11013
1026616,유투바이오,11013
145190,유화증권,11013
145464,이구산업,11013
145473,이글벳,11013
1264872,이노뎁,11013
1353848,이노벡스,11013
1419135,이노진,11013
353610,이니텍,11013
544452,이리츠코크렙,11013
694942,이미지스,11013
1436336,이베스트스팩5호,11013
330424,이베스트투자증권,11013
1116344,이비테크,11013
1365384,이성씨엔아이,11013
526872,이수앱지스,11013
134565,이스타코,11013
400060,이씨에스,11013
1337017,이앤에치,11013
1117246,EMB,11013
925967,이엠티,11013
540605,이월드,11013
1436628,이지스레지던스리츠,11013
1394377,이지스밸류플러스리츠,11013
490090,이지케어텍,11013
1140837,이지트로닉스,11013
788737,이퓨쳐,11013
145668,이화공영,11013
367871,인바이오,11013
652423,인바이오젠,11013
537221,인바이츠바이오코아,11013
145914,인터엠,11013
146214,일성신약,11013
385415,일신바이오,11013
146296,일신석재,11013
972503,일진하이솔루스,11013
1020524,자이글,11013
632793,전진바이오팜,11013
140061,TKG애강,11013
1014718,제노코,11013
393618,제노텍,11013
1062177,제놀루션,11013
899556,제룡산업,11013
185356,제룡전기,11013
1415892,제이알글로벌리츠,11013
1366824,제이엠멀티,11013
1041828,JTC,11013
185505,제일바이오,11013
148470,제일전기공업,11013
148531,제이스코홀딩스,11013
148832,제주은행,11013
1222867,제테마,11013
1169498,젬,11013
148939,조광피혁,11013
148948,조비,11013
796994,조선선재,11013
149239,조일알미늄,11013
149345,조흥,11013
830447,수프로,11013
1012987,아모센스,11013
548519,에스엔피제네틱스,11013
531078,유비온,11013
965062,코셋,11013
115065,동남합성,11013
149646,기업은행,11013
1494154,지니너스,11013
1318933,지니틱스,11013
1311310,지아이텍,11013
958327,지앤비에스엔지니어링,11013
1188749,지앤이헬스케어,11013
351995,지에스이,11013
1228515,지엔원에너지,11013
657756,지오씨,11013
668965,지오엘리먼트,11013
552992,진매트릭스,11013
1437858,진시스템,11013
150536,진양제약,11013
347734,진양화학,11013
653024,진에어,11013
1158632,진코스텍,11013
150828,진흥기업,11013
1063556,질경이,11013
1141599,차백신연구소,11013
606770,참좋은여행,11013
151395,천일고속,11013
599489,청광건설,11013
125576,체시스,11013
1133217,카카오뱅크,11013
159810,카프로,11013
598198,컴퍼니케이,11013
1418543,케이비제20호스팩,11013
366517,KC산업,11013
105466,KCC건설,11013
265041,KCI,11013
441650,케이씨에스,11013
1261893,케이씨텍,11013
441447,케이씨티,11013
328191,케이에스피,11013
1095704,케이엠제약,11013
1323032,케이카,11013
682992,다올인베스트먼트,11013
156859,다올투자증권,11013
225742,KT서브마린,11013
372873,KTis,11013
260958,케이티알파,11013
1428249,케이프이에스제4호,11013
532059,KPX생명과학,11013
357607,케이피티유,11013
1507722,켈스,11013
1070857,켐온,11013
1089350,켐트로스,11013
1430475,코람코에너지리츠,11013
304915,코리아에셋투자증권,11013
113191,코리안리,11013
365934,코세스,11013
129989,코스모신소재,11013
610861,코스텍시스템,11013
197476,코엔텍,11013
1245062,코오롱티슈진,11013
1397772,큐라클,11013
356802,큐렉소,11013
108746,큐로,11013
816696,큐엠씨,11013
267942,큐캐피탈,11013
1205329,크라운제과,11013
1034730,크로넥스,11013
296290,키움증권,11013
1118139,타스컴,11013
617314,타이거일렉,11013
1345724,타임기술,11013
874937,탑선,11013
442631,태양기계,11013
186799,태웅,11013
154055,태원물산,11013
411905,테라셈,11013
563545,두산테스나,11013
1016886,테크엔,11013
1246742,테크트랜스,11013
1436479,토마토시스템,11013
355089,토탈소프트,11013
547510,툴젠,11013
766106,트루윈,11013
372688,티사이언티픽,11013
245472,티씨케이,11013
1109937,티앤알바이오팹,11013
778235,TS인베스트먼트,11013
693554,티케이케미칼,11013
1350638,티티씨디펜스,11013
497631,티플랙스,11013
976615,틸론,11013
172079,파나진,11013
1066058,파마리서치바이오,11013
145163,파미셀,11013
238153,파세코,11013
1190780,파워풀엑스,11013
492353,파이오링크,11013
541862,판도라티비,11013
339072,팬스타엔터프라이즈,11013
397191,팬엔터테인먼트,11013
962922,팬젠,11013
148522,퍼스텍,11013
161709,퍼시스,11013
1336735,펨토바이오메드,11013
415868,펩트론,11013
188797,포메탈,11013
939942,포시에스,11013
1393721,포커스에이치엔에스,11013
615723,아이윈플러스,11013
124805,푸른저축은행,11013
155373,풍강,11013
1357446,퓨런티어,11013
1258428,프레스티지바이오로직스,11013
1510489,프레스티지바이오파마,11013
1267958,프로테옴텍,11013
1454341,플래티어,11013
1063237,플럼라인생명과학,11013
862853,플레이디,11013
138367,플레이위드,11013
990262,피노텍,11013
189538,피델릭스,11013
297934,피씨디렉트,11013
767460,PI첨단소재,11013
525864,피앤씨테크,11013
155586,피에스엠씨,11013
990563,피엔아이컴퍼니,11013
1112889,피엔에이치테크,11013
1290381,피엔케이피부임상연구센타,11013
829380,피제이메탈,11013
155735,피제이전자,11013
403766,피피아이,11013
495086,픽셀플러스,11013
1395279,하나금융14호스팩,11013
1416457,하나금융15호스팩,11013
1419384,하나금융16호스팩,11013
1493535,하나금융17호스팩,11013
1568875,하나금융19호스팩,11013
1583397,하나금융20호스팩,11013
1593242,하나금융21호스팩,11013
547583,하나금융지주,11013
1513404,하나머스트7호스팩,11013
660750,하나머티리얼즈,11013
248974,하나제약,11013
1414370,하이제5호스팩,11013
1526949,하이제6호스팩,11013
1586172,하이제7호스팩,11013
409964,하이텍팜,11013
156150,하이트론씨스템즈,11013
148993,하이트진로홀딩스,11013
221728,하츠,11013
1363924,한국미라클피플사,11013
876166,KBG,11013
626710,베트남개발1,11013
1179617,한국비엔씨,11013
158149,한국쉘석유,11013
158963,유나이티드,11013
404701,한국자산신탁,11013
257732,한국정밀기계,11013
1596665,한국제10호스팩,11013
159500,한국종합기술,11013
159564,한국주강,11013
687711,한국철강,11013
149594,한국캐피탈,11013
233653,한국토지신탁,11013
907013,한국ANKOR유전,11013
960641,한국패러랠,11013
432102,한국금융지주,11013
124090,한국특강,11013
187770,한국파마,11013
198192,한국팩키지,11013
160621,한국화장품제조,11013
244783,한네트,11013
160861,한농화성,11013
1069736,한독크린텍,11013
161860,한성기업,11013
349060,한스바이오메드,11013
162416,한양증권,11013
164672,한일현대시멘트,11013
474588,한중엔시에스,11013
351454,한창바이오텍,11013
202839,한창산업,11013
163761,한창제지,11013
113058,한화생명,11013
135917,한화손해보험,11013
148610,한화투자증권,11013
1572489,한화플러스제2호스팩,11013
453442,해성티피씨,11013
164618,현대사료,11013
164706,현대약품,11013
255044,현대에이치티,11013
656951,현대이지웰,11013
137997,현대차증권,11013
164973,현대해상,11013
808068,협진,11013
441243,형지엘리트,11013
217743,화성밸브,11013
825223,화신정공,11013
661847,화인베스틸,11013
188973,화일약품,11013
166500,화천기계,11013
367385,효성오앤비,11013
369569,비케이홀딩스,11013
111421,휴니드테크놀러지스,11013
205687,휴먼엔,11013
614478,휴메딕스,11013
1085442,휴벡셀,11013
1063884,휴센텍,11013
167004,흥구석유,11013
103176,흥국화재,11013
